"IDNUMBER","SMILES"
"ASN 00801650","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3ccc(C)c(C)c3)c2C#N)cc1"
"ASN 00801656","CCOc1cc(-c2cc(-c3ccc(O)cc3)nc(N)c2C#N)ccc1O"
"ASN 00801658","COc1ccc(-c2cc(-c3ccc(C)o3)nc(N)c2C#N)cc1OC"
"ASN 00801659","COc1ccc(-c2cc(-c3ccc(N)cc3)nc(N)c2C#N)cc1OC"
"ASN 00801660","COc1ccc(-c2cc(-c3ccc(NC(C)=O)cc3)nc(N)c2C#N)cc1OC"
"ASN 00801661","COc1ccc(-c2c(C#N)c(N)nc3c2CCc2ccccc2-3)cc1OC"
"ASN 00801670","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3cccc(C(F)(F)F)c3)c2C#N)cc1OC"
"ASN 00801671","COc1ccc(-c2cc(-c3ccccc3)nc3sc(C(=O)Nc4ccccc4)c(N)c23)cc1OC"
"ASN 00801677","COc1ccc(-c2cc(C)nc(N)c2C#N)cc1OC"
"ASN 00801687","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3sc4c(c3C#N)CCCC4)c2C#N)cc1"
"ASN 00801689","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3ccc(C)cc3C)c2C#N)cc1"
"ASN 00801697","CCOC(=O)c1c(NC(=O)CSc2nc(-c3ccccc3)cc(-c3ccc(OC)cc3)c2C#N)sc2c1CCCC2"
"ASN 00801699","CCOC(=O)c1c(NC(=O)c2sc3nc(-c4ccccc4)cc(-c4ccc(OC)cc4)c3c2N)sc2c1CCCC2"
"ASN 00801701","COc1ccc(-c2cc(-c3ccccc3)nc(SC(C)C(=O)O)c2C#N)cc1"
"ASN 00801708","COc1ccc(-c2cc(-c3ccccc3)nc3sc(C(=O)Nc4nc(-c5ccc(Br)cc5)cs4)c(N)c23)cc1"
"ASN 00801709","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)c3ccc(Cl)s3)c2C#N)cc1"
"ASN 00804503","CCOc1ccc(Cl)cc1S(=O)(=O)Nc1ccccn1"
"ASN 00851028","COc1ccccc1-c1c(C#N)c(N)nc2c1CCc1ccccc1-2"
"ASN 00851031","Cc1ccc(NC(=O)Cn2nnc3ccccc32)c(C)c1"
"ASN 00851032","Cc1ccc(NC(=O)CSc2nc(-c3ccccc3)cc(-c3ccccc3)c2C#N)c(C)c1"
"ASN 00851035","Cc1cc(C)nc(SC(C)C(=O)Nc2c(C)cccc2C)n1"
"ASN 00851038","Cc1ccc(NC(=O)CSc2nc(-c3ccccc3)cc(-c3ccccc3)c2C#N)cc1C"
"ASN 00851043","O=C(Cn1nnc2ccccc21)Nc1ccccc1-c1ccccc1"
"ASN 00851054","CCOc1cc(-c2c(C#N)c(N)nc3c2CCCC3C)ccc1O"
"ASN 00851057","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3ccc(C)c(C)c3)c2C#N)cc1OC"
"ASN 00851078","CC1CCc2nc(N)c(C#N)c(-c3ccco3)c2C1"
"ASN 00851079","CCOc1cc(-c2cc(-c3ccc(OC)cc3)nc(N)c2C#N)ccc1O"
"ASN 00851080","CCOc1ccc(-c2cc(-c3ccc(O)c(OCC)c3)c(C#N)c(N)n2)cc1"
"ASN 00851083","Cc1nn(-c2ccccc2)c2c1C(c1ccc(OCC(=O)Nc3ccccc3)cc1)C(C#N)=C(N)O2"
"ASN 00851084","N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1SCc1ccc(CSc2nc(-c3ccccc3)cc(-c3ccccc3)c2C#N)cc1"
"ASN 00851089","Cc1ccc(NC(=O)COc2ccc(OCc3ccccc3)cc2)c(Br)c1"
"ASN 00851093","CCCCSc1nc(-c2ccccc2)cc(-c2ccc(OC)cc2)c1C#N"
"ASN 00851096","N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1SCCC(=O)O"
"ASN 00851110","Cc1cccc(C)c1NC(=O)CSc1nc(-c2ccc(Br)cc2)cc(-c2ccccc2)c1C#N"
"ASN 00867610","CCOc1cc(C=O)ccc1OCC(=O)Nc1ccccc1-c1ccccc1"
"ASN 00867612","COc1cccc(OCC(=O)Nc2ccccc2-c2ccccc2)c1"
"ASN 00867619","COc1cc(C2C(C#N)=C(N)Oc3c2ccc2ccccc32)ccc1OCC(=O)Nc1ccc(C)cc1"
"ASN 00867624","N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1SCC(=O)Nc1ccccc1-c1ccccc1"
"ASN 00867639","Cc1ccc(-c2cc(-c3ccccc3)c(C#N)c(SCC(=O)Nc3c(C)cccc3C)n2)cc1"
